BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	1.00280663196061E-07	1.0E+10	1000000000	1E-30	1.63867557850056E-12	1.0E+10	1E-30	1.0E+10	1.29110501863919E-02	2.19006618818704E-05	1.0E+10	9.36187614757009E-02	2.92320449309266E-05	1.0E+10	0.012209745405769	1E-30	7.86109636996447E-11	9.11077057017644E-02	2.22281483849347E-07	4.85975968392783E-11	5.05494997377027E-02	4.36671569332081E-08	6.6830479961212E-11	5.14097985211772E-02	1.10840083431658E-11	4.20372335972502E-10	58.9003190638705	8.56622953409165E-12	2.35739773811109E-10	25.8454679129482	7.22470283060938E-12	4.70892850808313E-11	11.4702904428843	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	1.49695702325067E-07	1.0E+10	666666666.666667	1E-30	1.54115943776092E-12	1.0E+10	1E-30	1.0E+10	8.80751304755379E-03	3.6919346442186E-05	1.0E+10	9.87565994642593E-02	4.27554775372256E-05	1.0E+10	1.53952562920947E-02	1E-30	1.38739863655956E-10	9.46957193652705E-02	3.13457918343981E-07	7.10787267790462E-11	7.85685937569903E-02	1.0378395795294E-07	6.96971380146652E-11	0.058380980272097	1.32383654174686E-11	2.78737670646423E-10	40.6542574856715	6.09112594744132E-12	2.61535501723608E-10	50.0478519897827	3.00992984838466E-11	1.03571666269812E-11	4.11277535049226	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	2.19948711314392E-07	1.0E+10	454545454.545455	1E-30	4.86193531639736E-11	1.0E+10	1E-30	1.0E+10	7.80547093868008E-03	1.33570941962702E-04	1.0E+10	0.093775137299507	4.70938820230134E-05	1.0E+10	2.56358149027255E-02	1E-30	8.93129961871608E-11	0.060297303457	4.47844501454785E-07	5.87588173142342E-11	4.17649856457118E-02	1.23339898054316E-07	6.2116897313151E-11	3.86819149666548E-02	1.19339190401788E-11	3.84504014898034E-10	61.725994374674	8.84396293220307E-12	2.18244642376445E-10	28.9044199504884	1.12305747295802E-11	3.18443778221617E-11	8.93293422985437	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	2.15511051699698E-07	1.0E+10	454545454.545455	1E-30	7.1032006890165E-11	1.0E+10	1E-30	1.0E+10	6.47415602677312E-03	5.01801403927194E-05	1.0E+10	4.82709556256047E-02	7.45697254153002E-05	1.0E+10	6.04783509766808E-03	1E-30	1.81285981592725E-10	0.083790745749942	3.46831142307004E-07	1.18180937569581E-10	0.101171356126515	1.87745113795477E-07	7.72808019055065E-11	7.60637252121849E-02	1.34887250726704E-11	2.98721777047402E-10	47.1172480060188	7.56119019897884E-12	2.31375235812851E-10	34.6230102411991	1.58409416608016E-11	2.08983474800761E-11	5.12834284779784	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	2.72403959721048E-07	1.0E+10	370370370.37037	1E-30	1.10895524999599E-11	1.0E+10	1E-30	1.0E+10	5.29508096709541E-03	1.49750767329102E-04	1.0E+10	1.43367619840056E-02	7.27362564350723E-05	1.0E+10	1.08831839292882E-02	1E-30	2.1904413769961E-10	8.93570046796066E-02	4.80243102713794E-07	1.32054553323468E-10	0.125187027968831	2.76480490611773E-07	8.14693731871638E-11	8.00726260710248E-02	9.64257601452855E-12	2.39051171996066E-10	41.1598092329521	6.8001195523357E-12	1.7379335485506E-10	29.9796029170017	8.75584684821059E-11	3.63736674468228E-12	1.54116473784017	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	3.02742096126427E-07	1.0E+10	303030303.030303	1E-30	6.84292820996618E-12	1.0E+10	1E-30	1.0E+10	5.41356430748012E-03	8.57025599371772E-05	1.0E+10	5.87254478062035E-02	8.86055141765011E-05	1.0E+10	9.15175532272493E-03	1E-30	1.41391424493133E-10	7.32069231614367E-02	6.71417514156493E-07	6.98287800029547E-11	6.16316194272348E-02	2.42142335316635E-07	6.61526882649449E-11	4.88637962520502E-02	1.23474790743681E-11	3.08317717463642E-10	52.956587183538	6.74443490682056E-12	2.42334830725786E-10	42.6674277753388	1.32825233827665E-11	2.10789746716353E-11	6.16722532206886	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	4.4897290881056E-07	1.0E+10	212765957.446808	1E-30	5.23409648848776E-12	1.0E+10	1E-30	1.0E+10	4.22023185570288E-03	1.08324926629195E-04	1.0E+10	1.15457241708701E-02	1E-30	2.01936561075548E-10	7.02033473605646E-02	8.00896234487218E-07	1.11282284387389E-10	8.93813990214113E-02	4.57017344729006E-07	7.17157518067077E-11	6.23668993749566E-02	1.07326149905701E-11	1.87845249855705E-10	38.458623003951	5.31181056031066E-12	1.998371790448E-10	41.0888640558176	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	4.34770392906094E-07	1.0E+10	212765957.446808	1E-30	3.17783278706297E-12	1.0E+10	1E-30	1.0E+10	4.33619939910768E-03	8.85972832723098E-05	1.0E+10	1.79206610163249E-02	1E-30	1.91727188683127E-10	7.69848972271053E-02	6.18734939965092E-07	1.37111546987174E-10	0.085760053215128	4.06077185051709E-07	7.37258442468707E-11	6.24389780966882E-02	1.03608704275181E-11	2.16777653779028E-10	34.9656197446495	6.66540063654513E-12	1.70303485989864E-10	40.0266700948204	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	5.60822049129347E-07	1.0E+10	178571428.571429	1E-30	1.13057601225026E-12	1.0E+10	1E-30	1.0E+10	3.57864228805572E-03	1.22142510607643E-04	1.0E+10	1.20613160270243E-02	1E-30	1.99222202358738E-10	6.24509412664061E-02	1.05971196956559E-06	1.27998874159101E-10	8.29395059462868E-02	6.00809075762082E-07	8.33543940728021E-11	6.56586059530022E-02	1.26108481068861E-11	2.32413186344785E-10	45.9835463832548	5.47081153818395E-12	2.46758029797846E-10	36.1939389309028	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	6.22350966313087E-07	1.0E+10	147058823.529412	1E-30	1.73974365415349E-11	1.0E+10	1E-30	1.0E+10	3.91431419549962E-03	1.42310064039153E-04	1.0E+10	1.09028193375998E-02	1E-30	1.72445848256112E-10	6.04325261725968E-02	1.04924995846187E-06	1.10987205698383E-10	5.38002582753446E-02	5.49765918594927E-07	7.39804795601361E-11	4.54504448916434E-02	1.20843765350553E-11	2.59884758856164E-10	45.6846209631994	6.87827950599529E-12	2.08517918005644E-10	44.2219454215714	2.69653945391903E-11	1.03204584231151E-11	3.42682953819418	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
