BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	1.09165231627861E-09	1.0E+10	1.0E+10	1E-30	2.01045726853208E-10	1.0E+10	1E-30	1.0E+10	0.331371166408503	1.20707840691494E-08	1.0E+10	208.970340623992	4.58918410836576E-08	1.0E+10	1.38065334878187	1.59123924388155E-08	1.0E+10	0.288459369966063	3.95285592423313E-11	1.89369639463347E-10	3.31283406723824	2.93029257902102E-12	2.32975553571756E-10	22.3975071315835	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	1.52159696699852E-09	1.0E+10	1.0E+10	1E-30	1.46537814786545E-10	1.0E+10	1E-30	1.0E+10	0.271570365705512	2.75974236562203E-08	1.0E+10	77.7949831427699	7.25886201017326E-08	1.0E+10	1.38341216727113	2.69692295993449E-08	1.0E+10	0.229589272039298	4.11806962180905E-11	1.58317036880808E-10	2.58474071597477	2.42489916911485E-12	2.94800117890334E-10	27.6959957620064	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	2.16774473062814E-09	1.0E+10	1.0E+10	1E-30	1.81294231227511E-10	1.0E+10	1E-30	1.0E+10	0.204516558248363	4.91250030206458E-08	1.0E+10	42.7088169576859	1.07473796384975E-07	1.0E+10	0.93436710744311	4.48025352382207E-08	1.0E+10	0.178039981938979	1.16548501152247E-09	5.34213236813637E-11	0.282230520072437	5.70829872935096E-11	1.04163279492034E-10	2.09220374937382	2.32544832215186E-12	2.44182561283448E-10	25.7397293503118	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	3.27034399359844E-09	1.0E+10	1.0E+10	1E-30	1.70358850343388E-10	1.0E+10	1E-30	1.0E+10	0.194756383962399	9.81235906939051E-08	1.0E+10	20.4195750332939	1.62844626426367E-07	1.0E+10	0.812917924040947	8.16156478296975E-08	1.0E+10	0.131839849753367	6.37315502008097E-11	1.17453741335963E-10	1.12916182357869	2.47944501885843E-12	3.16130832657174E-10	29.0239278939027	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	4.46356307191041E-09	1.0E+10	1.0E+10	1E-30	1.82977738649914E-10	1.0E+10	1E-30	1.0E+10	0.154044164426246	1.55162419054867E-07	1.0E+10	15.8866961693625	2.45915861685857E-07	1.0E+10	0.647192669886445	1.35140817526296E-07	1.0E+10	9.35478024389108E-02	1.70644771396261E-09	7.27994924810693E-11	0.216280658344959	1.3246251176411E-10	5.9173649049872E-11	0.668371130624459	2.41042146390785E-12	2.83222891078076E-10	27.2281216870041	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	6.76812243779352E-09	1.0E+10	1.0E+10	1E-30	1.88854313519833E-10	1.0E+10	1E-30	1.0E+10	9.46134523039367E-02	3.22308662020137E-07	1.0E+10	4.93796667127586	3.70059857538235E-07	1.0E+10	0.341623827655413	2.33491985011044E-07	1.0E+10	0.043007891790979	1E-30	1.00226727446673E-10	0.535281636087687	5.20663905827032E-09	5.21992022244365E-11	0.131993698115523	2.67028411336801E-12	1.93938425571457E-10	26.9496541899718	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	9.99153949484996E-09	1.0E+10	1.0E+10	1E-30	1.82735175515754E-10	1.0E+10	1E-30	1.0E+10	7.71718133956354E-02	5.33317611278678E-07	1.0E+10	2.98424315503676	6.56124002080415E-07	1.0E+10	0.242568390406771	4.86391442305556E-07	1.0E+10	4.41401908294843E-02	1E-30	8.35161550254275E-11	0.17756987372023	3.41695749295845E-08	1.66181150513435E-11	4.60756098924503E-02	2.90830249717756E-12	3.09443782726903E-10	32.6190337862883	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	1.34725427272726E-08	1.0E+10	6666666666.66667	1E-30	2.85483791482877E-10	1.0E+10	1E-30	1.0E+10	6.45866455094965E-02	5.24402570030573E-07	1.0E+10	7.62351607157271	1.09563226057479E-06	1.0E+10	0.289837997309132	1.17399111864701E-06	1.0E+10	4.81011345612159E-02	1.17399111864701E-06	1.0E+10	1.35567416621786E-02	1E-30	6.95516027459931E-11	0.20888436603257	1E-30	6.79684149805168E-12	9.11813328806668E-02	1.05592959697475E-08	5.13554305462991E-11	6.97389984108185E-02	4.82652947841952E-12	2.69517130750368E-10	25.9104947515708	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	2.16393037756418E-08	1.0E+10	4545454545.45455	1E-30	2.4605585357003E-10	1.0E+10	1E-30	1.0E+10	4.89693938235271E-02	1.18476537911147E-06	1.0E+10	2.12905939268798	1.96622111155869E-06	1.0E+10	0.161505671119836	1.29906940574104E-06	1.0E+10	4.34698134850612E-02	1E-30	7.92126959020974E-11	0.160839823653927	3.28435758277912E-08	3.2943588381728E-11	5.01949740644545E-02	4.23107218361516E-12	1.93986230032267E-10	22.421271323035	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
END DSCRDATA
