BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0.00000000001	1.0E+10	1.0E+10	1E-30	8.26693580619828E-11	1.0E+10	1E-30	1.0E+10	0.344446284722053	1.88439593252444E-09	1.34994742484714E-12	6.55613629492297E-02	1.0589608373331E-10	8.74256981896751E-12	3.60956801993758	8.85347417548222E-13	4.87908642997677E-10	256.550591713196	4.54060501876962E-12	7.55681014785839E-11	76.6842910402884	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	0.00000000001	1.0E+10	1.0E+10	1E-30	8.26693580619828E-11	1.0E+10	1E-30	1.0E+10	0.344446284722053	1.88439593252444E-09	1.34994742484714E-12	6.55613629492297E-02	1.0589608373331E-10	8.74256981896751E-12	3.60956801993758	8.85347417548222E-13	4.87908642997677E-10	256.550591713196	4.54060501876962E-12	7.55681014785839E-11	76.6842910402884	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	0.000000000012	1.0E+10	1.0E+10	1E-30	9.21935653359652E-12	1.0E+10	1E-30	1.0E+10	0.21740938810451	1.6574627119156E-09	1.67886297097866E-12	8.75742375339015E-02	9.30602119081344E-11	1.36096272462766E-11	4.82010051169199	1.33853569843035E-12	4.50568695547364E-10	298.669017590652	2.82980110639858E-12	1.45442823748373E-10	106.129018816499	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	0.000000000012	1.0E+10	1.0E+10	1E-30	9.21935653359652E-12	1.0E+10	1E-30	1.0E+10	0.21740938810451	1.6574627119156E-09	1.67886297097866E-12	8.75742375339015E-02	9.30602119081344E-11	1.36096272462766E-11	4.82010051169199	1.33853569843035E-12	4.50568695547364E-10	298.669017590652	2.82980110639858E-12	1.45442823748373E-10	106.129018816499	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	0.000000000015	1.0E+10	1.0E+10	1E-30	4.53019545190005E-12	1.0E+10	1E-30	1.0E+10	0.202879738522259	2.45156700027039E-09	1.10921376502817E-12	0.112817472242917	1.40852330515414E-10	1.18534898043812E-11	3.65642015755623	4.68079375829388E-12	1.57561665353706E-10	59.5923035447406	1.0040513214182E-12	4.09913571927319E-10	463.269969735164	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	0.000000000015	1.0E+10	1.0E+10	1E-30	4.53019545190005E-12	1.0E+10	1E-30	1.0E+10	0.202879738522259	2.45156700027039E-09	1.10921376502817E-12	0.112817472242917	1.40852330515414E-10	1.18534898043812E-11	3.65642015755623	4.68079375829388E-12	1.57561665353706E-10	59.5923035447406	1.0040513214182E-12	4.09913571927319E-10	463.269969735164	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	0.000000000018	1.0E+10	1.0E+10	1E-30	3.11497443836202E-11	1.0E+10	1E-30	1.0E+10	0.214103130252407	1.54683420430588E-09	1.75798534517731E-12	0.178803643748469	2.26649405366927E-10	7.59340873155903E-12	1.8325511037446	4.47012333586607E-12	1.50470222253979E-10	47.3358492778474	8.74492143402543E-13	4.70643752109074E-10	422.507233946554	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	0.000000000018	1.0E+10	1.0E+10	1E-30	3.11497443836202E-11	1.0E+10	1E-30	1.0E+10	0.214103130252407	1.54683420430588E-09	1.75798534517731E-12	0.178803643748469	2.26649405366927E-10	7.59340873155903E-12	1.8325511037446	4.47012333586607E-12	1.50470222253979E-10	47.3358492778474	8.74492143402543E-13	4.70643752109074E-10	422.507233946554	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	0.000000000022	1.0E+10	1.0E+10	1E-30	1.07305647872238E-11	1.0E+10	1E-30	1.0E+10	0.211093242456473	2.16448501751582E-10	1.04818219277422E-11	1.39013217239564	1.09728516067621E-11	8.46156241839891E-11	17.9965879612659	8.16123553843603E-13	5.04303866274335E-10	320.504512959465	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	0.000000000022	1.0E+10	1.0E+10	1E-30	1.07305647872238E-11	1.0E+10	1E-30	1.0E+10	0.211093242456473	2.16448501751582E-10	1.04818219277422E-11	1.39013217239564	1.09728516067621E-11	8.46156241839891E-11	17.9965879612659	8.16123553843603E-13	5.04303866274335E-10	320.504512959465	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
