BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	2.02610236678505E-09	1.0E+10	1.0E+10	1E-30	3.93941197067367E-11	1.0E+10	1E-30	1.0E+10	5.85825897536633E-02	6.2772795924113E-08	1.0E+10	25.3541268552543	1.11049770316593E-07	1.0E+10	0.955457135049496	1.03299960834749E-07	1.0E+10	0.153213591821084	3.91524127003739E-08	1.0E+10	5.28409166313553E-02	1E-30	1.42927822912355E-11	0.299347332303358	3.05021818679971E-09	1.07236841195074E-11	0.128427394971026	9.99381576101398E-10	9.90076971267691E-12	0.170628674162634	8.338946137914E-12	3.88023483658915E-11	5.61445274211964	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	4.57002097156025E-09	1.0E+10	1.0E+10	1E-30	3.33004859242814E-11	1.0E+10	1E-30	1.0E+10	3.60382427009358E-02	1.99572942243509E-07	1.0E+10	7.97477560348348	3.5940779004603E-07	1.0E+10	0.442825524375841	1.94035543536702E-07	1.0E+10	0.117176575112378	9.6879384129013E-08	1.0E+10	1.82535043185418E-02	1E-30	1.63538500822792E-11	0.154131405829191	6.76305345955625E-09	1.04038706045617E-11	8.71592625605064E-02	2.28488273596807E-09	7.69863721859072E-12	9.95080407575763E-02	5.52561509797176E-12	5.91321188460053E-11	8.34843831203738	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	1.00090852324531E-08	1.0E+10	1.0E+10	1E-30	1.96232871920409E-11	1.0E+10	1E-30	1.0E+10	2.58262482432096E-02	5.79120519328409E-07	1.0E+10	13.7737177295731	8.6345890011736E-07	1.0E+10	1.68104160159971	6.2576480546262E-07	1.0E+10	0.328267397339168	6.31421222136673E-07	1.0E+10	6.49112109391514E-02	5.8919514053207E-07	1.0E+10	1.35382015497107E-02	1E-30	1.61478131180071E-11	0.103421645361804	1.85166156995046E-08	8.99392861148831E-12	5.86527221403093E-02	6.65085581943087E-09	7.08990153011473E-12	5.76326808016597E-02	4.51872862278949E-12	7.50319752000199E-11	13.075017461179	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	9.88325700801515E-09	1.0E+10	1.0E+10	1E-30	0.00000000003	1.0E+10	1E-30	1.0E+10	2.57537995392445E-02	5.10270716890212E-07	1.0E+10	12.4170801844288	8.7138593958067E-07	1.0E+10	1.15241680744221	1.16785436082468E-06	1.0E+10	0.179990755064954	6.53226953196475E-07	1.0E+10	9.06932133119936E-02	6.08846420161533E-07	1.0E+10	1.79565288571205E-02	1E-30	2.70950130534101E-11	0.141160544337097	1.60163496937198E-08	1.39846939157467E-11	9.40401334841359E-02	7.92954947301765E-09	8.87338345316862E-12	7.21944104509099E-02	0.00000000002	0.000000000014	100000	1.05671826175342E-11	0.000000000025	3.62391503650765	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	9.41923555373619E-09	1.0E+10	1.0E+10	1E-30	0.000000000027	1.0E+10	1E-30	1.0E+10	2.69284429032471E-02	5.51919757114471E-07	1.0E+10	17.7805090625987	6.96149183946628E-07	1.0E+10	2.76036532250672	6.13555808986686E-07	1.0E+10	0.415784235870687	6.74229133945979E-07	1.0E+10	6.74836811028213E-02	5.94082723907876E-07	1.0E+10	1.84464677603478E-02	1E-30	2.3672872217178E-11	0.250335292558299	1.69216277899225E-08	1.03054962880644E-11	5.85339251877652E-02	4.46549573105697E-09	1.1252626070497E-11	0.070131930282013	7.6305898226543E-12	4.07210641291564E-11	5.98856491491106	0.000000000025	0.000000000012	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	2.13878646393349E-08	1.0E+10	1.0E+10	1E-30	4.5347498098234E-11	1.0E+10	1E-30	1.0E+10	2.18782530512107E-02	1.33126394082604E-06	1.0E+10	5.85539183731161	1.46756018400338E-06	1.0E+10	0.84182963682805	1.34565721183654E-06	1.0E+10	0.138958682679674	1.0703578096022E-06	1.0E+10	2.27610928016063E-02	1E-30	1.86769300621738E-11	5.21558277999426E-02	7.74298149036372E-08	4.07320291973084E-12	1.55054777654317E-02	1.19035905828445E-08	6.41559445189927E-12	2.48277686413031E-02	5.2372243364601E-12	7.0577893369366E-11	9.0464612456538	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	2.10312244834025E-08	1.0E+10	1.0E+10	1E-30	0.000000000043	1.0E+10	1E-30	1.0E+10	2.17142772961976E-02	1.35560508124665E-06	1.0E+10	6.45188983985278	1.46673067179035E-06	1.0E+10	1.01267422840696	1.24205512033295E-06	1.0E+10	0.172853931598787	1.05315317704658E-06	1.0E+10	2.65601515896541E-02	1E-30	1.77747825039612E-11	8.59162716975448E-02	4.56087848823205E-08	6.22718552586629E-12	2.00311026961197E-02	1.1316072981983E-08	6.51091495668264E-12	0.026862992298374	0.000000000006	0.00000000006	8.68252575885565	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	2.10162545494771E-08	1.0E+10	1.0E+10	1E-30	4.2728944207611E-11	1.0E+10	1E-30	1.0E+10	1.99092949580565E-02	1.25414545228401E-06	1.0E+10	6.36022125671825	1.652588222826E-06	1.0E+10	0.747576219931075	1.38267259023546E-06	1.0E+10	0.13523863481185	1.10082719699653E-06	1.0E+10	2.21310969621297E-02	1E-30	2.04866415420346E-11	0.117395280255584	3.73052568895637E-08	1.00443891995331E-11	3.39229134135383E-02	1.11704307673131E-08	9.07048132278151E-12	3.73515019489992E-02	5.96681151530689E-12	5.65173438243104E-11	8.52599226674621	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	4.36051966360204E-08	1.0E+10	1.0E+10	1E-30	0.000000000042	1.0E+10	1E-30	1.0E+10	1.08822901785432E-02	2.89889477148041E-06	1.0E+10	2.68898067260278	3.18556053008462E-06	1.0E+10	0.387823632624571	3.23421790476477E-06	1.0E+10	6.01119570744477E-02	2.87681826109411E-06	1.0E+10	1.28663401378431E-02	1E-30	2.96082187458017E-11	7.64514518150024E-02	8.20795478578185E-08	1.34506078629321E-11	3.62029249376836E-02	3.36167399865101E-08	1.00639531311046E-11	3.40556921459145E-02	6.00699763666166E-12	0.00000000005	13.9481173075742	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	4.49646631842442E-08	1.0E+10	1.0E+10	1E-30	0.000000000028	1.0E+10	1E-30	1.0E+10	1.06671741391631E-02	2.9207789948571E-06	1.0E+10	2.73099833252654	3.42540832722259E-06	1.0E+10	0.404676311121623	3.22818112307616E-06	1.0E+10	6.57300856208616E-02	2.79599654952468E-06	1.0E+10	1.26424377541902E-02	1E-30	2.85918957078463E-11	8.29145441612082E-02	7.2735519717836E-08	1.51785512234617E-11	4.00593881921944E-02	3.39737103391777E-08	9.51001541597874E-12	3.61079079527691E-02	0.000000000013	0.00000000002	100000	0.00000000001	0.000000000026	4.2677121326191	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
