BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0.000000000001	1.0E+10	100000000000	1E-30	5.28962348929706E-10	1.0E+10	1E-30	1.0E+10	0.361535751644615	1E-30	4.22124590322601E-11	0.227449880944553	2.44480291960533E-11	1.31403485657027E-11	100000	2.61215981045762E-11	1.0064625418337E-11	1.58181616550283	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	0.000000000001	1.0E+10	100000000000	1E-30	5.28962348929706E-10	1.0E+10	1E-30	1.0E+10	0.361535751644615	1E-30	4.22124590322601E-11	0.227449880944553	2.44480291960533E-11	1.31403485657027E-11	100000	2.61215981045762E-11	1.0064625418337E-11	1.58181616550283	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	0.000000000002	1.0E+10	100000000000	1E-30	4.27287171631684E-10	1.0E+10	1E-30	1.0E+10	0.244689401090105	1E-30	3.13055257234574E-11	0.280531196051075	1.86199723482559E-11	1.52490999293272E-11	1.48706859574364	2.34261716245284E-12	1.05808368256428E-10	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	0.000000000002	1.0E+10	100000000000	1E-30	4.27287171631684E-10	1.0E+10	1E-30	1.0E+10	0.244689401090105	1E-30	3.13055257234574E-11	0.280531196051075	1.86199723482559E-11	1.52490999293272E-11	1.48706859574364	2.34261716245284E-12	1.05808368256428E-10	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	0.000000000003	1.0E+10	100000000000	1E-30	4.40267808257545E-10	1.0E+10	1E-30	1.0E+10	0.170227607640475	1E-30	1.64577591871762E-11	0.317543254860764	1E-30	3.15408392272527E-11	0.140699502034867	1.07731240893193E-11	2.79404232289049E-11	5.5076588989305	6.58238295660553E-12	4.50313466233917E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	0.000000000003	1.0E+10	100000000000	1E-30	4.40267808257545E-10	1.0E+10	1E-30	1.0E+10	0.170227607640475	1E-30	1.64577591871762E-11	0.317543254860764	1E-30	3.15408392272527E-11	0.140699502034867	1.07731240893193E-11	2.79404232289049E-11	5.5076588989305	6.58238295660553E-12	4.50313466233917E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	0.000000000004	1.0E+10	100000000000	1E-30	4.09007462120493E-10	1.0E+10	1E-30	1.0E+10	0.153858415197409	1E-30	2.07106693998294E-11	0.571810478350151	1E-30	2.04489439731029E-11	0.120088517616767	1.49882880687074E-11	2.86391228764703E-11	13.7496844139787	4.25341019530837E-12	6.66343683021401E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	0.000000000004	1.0E+10	100000000000	1E-30	4.09007462120493E-10	1.0E+10	1E-30	1.0E+10	0.153858415197409	1E-30	2.07106693998294E-11	0.571810478350151	1E-30	2.04489439731029E-11	0.120088517616767	1.49882880687074E-11	2.86391228764703E-11	13.7496844139787	4.25341019530837E-12	6.66343683021401E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	0.000000000005	1.0E+10	100000000000	1E-30	3.44524754663812E-10	1.0E+10	1E-30	1.0E+10	0.141589156876828	1E-30	2.84503454992936E-11	0.194008374812199	1.7776211942211E-11	3.23087041038413E-11	15.4534066661941	6.35789378444147E-12	4.90307157612547E-11	20.742122700372	4.61929493599537E-12	6.33860826825274E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	0.000000000005	1.0E+10	100000000000	1E-30	3.44524754663812E-10	1.0E+10	1E-30	1.0E+10	0.141589156876828	1E-30	2.84503454992936E-11	0.194008374812199	1.7776211942211E-11	3.23087041038413E-11	15.4534066661941	6.35789378444147E-12	4.90307157612547E-11	20.742122700372	4.61929493599537E-12	6.33860826825274E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
