BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	9.70785579250318E-09	1.0E+10	1.0E+10	1E-30	7.67183018788357E-11	1.0E+10	1E-30	1.0E+10	4.76563180185042E-02	9.01730898606029E-07	1.0E+10	2.25280056285722	2.00626475507886E-06	1.0E+10	6.27874041720903E-02	1E-30	8.39630075076788E-11	0.264416460568038	3.35617365716282E-08	2.6071602730579E-11	4.35763442757843E-02	1.02793250277744E-08	2.47065420441091E-11	8.61275155128343E-02	9.14303259684919E-12	2.28016927632667E-10	30.3740109959233	1.32745370558185E-12	4.32025117914098E-10	63.3050462204545	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	9.67049679188749E-09	1.0E+10	1.0E+10	1E-30	1.52830981033641E-10	1.0E+10	1E-30	1.0E+10	3.81034151938682E-02	9.25253473958803E-07	1.0E+10	2.28556201549963	2.26081014354066E-06	1.0E+10	5.85892709208891E-02	1E-30	1.34743223329544E-10	0.254949662031975	5.56012186071388E-08	2.70869789025155E-11	0.09378265026078	1.53398528586869E-08	3.89716289564561E-11	0.148084287063795	9.2806272922825E-12	2.15743567242688E-10	25.0636282105632	1.07364128708265E-11	7.78235012818205E-11	10.7148416163792	1.71899334793185E-12	2.5536840808622E-10	71.8101761150118	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	1.50949078653384E-08	1.0E+10	6666666666.66667	1E-30	1.01003499549926E-10	1.0E+10	1E-30	1.0E+10	3.19136412257737E-02	1.56747623208397E-06	1.0E+10	1.96154706563939	3.09859124898095E-06	1.0E+10	6.01307308028698E-02	1E-30	1.15923909410051E-10	0.365067792725413	9.06791941854919E-08	2.11107907969784E-11	4.78345096783176E-02	1.21046004214335E-08	5.77864620813462E-11	0.121382495026211	1.07646275503054E-11	1.53836131282011E-10	25.1979958459534	1.5426792088064E-11	4.97861247448953E-11	8.31286881530733	1.57710126944491E-12	3.02460593674519E-10	94.8573945092648	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	1.47273709884591E-08	1.0E+10	6666666666.66667	1E-30	8.73150906695505E-12	1.0E+10	1E-30	1.0E+10	2.68100877903245E-02	1.92094506398347E-06	1.0E+10	1.0488245003029	3.34446785391671E-06	1.0E+10	0.046099199650206	1E-30	1.16948310287454E-10	0.161522791269969	8.39834448877237E-08	3.5123502801895E-11	0.103601072350737	2.62741292847323E-08	4.41526442403941E-11	0.133341806911607	8.46057006739951E-12	2.39939723155534E-10	39.5665259768321	1.41466609596403E-12	5.24473193022862E-10	63.6735921983827	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	2.2397117935891E-08	1.0E+10	4545454545.45455	1E-30	1.42080910349605E-11	1.0E+10	1E-30	1.0E+10	0.024653213928342	3.22281541905033E-06	1.0E+10	0.617093045615432	4.78370655790452E-06	1.0E+10	3.40364299453946E-02	1E-30	1.28580216616593E-10	0.178773790148636	1.20155714197182E-07	3.04446759319217E-11	5.15855847599901E-02	2.78605808501401E-08	5.09406772797528E-11	0.116776273662691	1.06333988275815E-11	2.05298253314952E-10	24.8650408591917	1.34740046060224E-11	7.17690901037035E-11	7.30585201081623	1.45414528406945E-12	3.96271416844936E-10	88.917537525396	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	3.26369456862415E-08	1.0E+10	3030303030.30303	1E-30	1.06681906557425E-10	1.0E+10	1E-30	1.0E+10	1.87287726553303E-02	4.49944024198662E-06	1.0E+10	0.632498180450271	7.99691247574563E-06	1.0E+10	3.10884188610723E-02	1E-30	1.34634790771444E-10	0.176493198191121	1.60603218993748E-07	3.08258460618113E-11	5.28854034712941E-02	3.59877117577108E-08	5.28526072409295E-11	0.102796609489436	8.13357419653335E-12	1.80848123068679E-10	26.4656818245926	5.55534079919082E-12	1.25165768180554E-10	24.6934334457425	1.87886148451355E-12	1.95063413914151E-10	52.0200539900588	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	3.19132741346436E-08	1.0E+10	3030303030.30303	1E-30	2.99399792439547E-11	1.0E+10	1E-30	1.0E+10	1.71540596848441E-02	4.42909262688895E-06	1.0E+10	0.634265840019731	7.56799801171302E-06	1.0E+10	3.03897776832345E-02	1E-30	1.59917812596339E-10	0.199145149074516	1.31651987129803E-07	4.82867934142362E-11	8.87986617332462E-02	4.2486708025017E-08	6.36504970130256E-11	0.142361815793225	1.00435182507511E-11	1.50373561072538E-10	18.0642933837883	1.26817953866236E-11	6.19802594536402E-11	8.98158956332235	1.34694537060962E-12	3.32085998315184E-10	95.5663726241846	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	4.59382400440669E-08	1.0E+10	2127659574.46808	1E-30	5.6385823318294E-11	1.0E+10	1E-30	1.0E+10	1.54700151928537E-02	8.31169034269024E-06	1.0E+10	0.293839612389788	1.25877306334519E-05	1.0E+10	2.52014511207128E-02	1E-30	1.37136008733001E-10	0.156348562155789	2.45833719204408E-07	3.65143519173167E-11	5.29179491248119E-02	4.42159181957945E-08	8.43925085076876E-11	0.104583512264494	1.22922507335354E-11	1.42323176059343E-10	25.6023268909553	5.702673583815E-12	1.39036019808302E-10	12.9962881816106	1.4040106236914E-12	2.86952494814661E-10	133.981590762141	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	4.71923644514207E-08	1.0E+10	2127659574.46808	1E-30	7.80675592196494E-11	1.0E+10	1E-30	1.0E+10	1.36166303839619E-02	8.15305136239511E-06	1.0E+10	0.311098265989089	1.06164194849612E-05	1.0E+10	3.11457979011302E-02	1E-30	1.81795834343536E-10	0.16487492111558	1.92115618010619E-07	5.81713217010303E-11	0.103535686236108	6.98298160840102E-08	7.2531243143487E-11	0.1152111718705	1.22830367886592E-11	1.22464940346797E-10	16.3031706679073	9.38591622044609E-12	8.91238068487845E-11	10.3187852854628	1.4523777720583E-12	3.12175371414021E-10	92.2438145554801	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	6.61719586375478E-08	1.0E+10	1470588235.29412	1E-30	5.89693241433493E-11	1.0E+10	1E-30	1.0E+10	1.22585929159886E-02	1.23204163110156E-05	1.0E+10	0.240544121875781	1.99944512907104E-05	1.0E+10	2.04546323360437E-02	1E-30	7.28951349133322E-11	8.27752314396351E-02	1.43327590295893E-07	4.82032902129292E-11	6.54597435996932E-02	4.74829390100206E-08	3.90144876197026E-11	3.49886592480161E-02	9.10374426869833E-12	1.80689924554501E-10	29.8444082856778	1.04293344395919E-12	4.44393058327354E-10	92.0309764278233	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
