BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	6.94E-15	1E-30	1.0E-10	1.0E+10	0.00000000077	0.0117	1.0E+10	1E-30	18400	1.0E+10	0.0000000933	379	1.0E+10	0.0000000667	40.3	1.0E+10	0.00000389	461	3.75E-16	0.000000327	350	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	6.94E-15	1E-30	1.0E-10	1.0E+10	0.000000000969	0.00723	1.0E+10	1E-30	18400	1.0E+10	0.0000000933	379	1.0E+10	0.0000000319	15.3	1.0E+10	0.000000447	34.2	3.75E-16	0.000000327	350	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	6.94E-15	1E-30	1.0E-10	1.0E+10	0.00000000122	0.0245	1.0E+10	1E-30	18400	1.0E+10	0.000000174	706	1.0E+10	0.0000000421	20.2	1.0E+10	0.0000162	1630	3.75E-16	0.000000327	350	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	0.000000000000027	1E-30	1.0E-10	1.0E+10	0.00000000185	0.0323	1.0E+10	1E-30	18400	1.0E+10	0.000000102	416	1.0E+10	0.0000000402	19.3	1.0E+10	0.0000000513	5.17	4.03E-14	0.00000000254	4.29	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	1.26E-14	1E-30	1.0E-10	1.0E+10	0.00000000243	0.05	1.0E+10	1E-30	24200	1.0E+10	0.000000102	456	1.0E+10	0.000000043	20.7	1.0E+10	0.0000000513	5.17	0.000000000000032	0.00000000202	4.29	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	1.55E-14	1E-30	1.0E-10	1.0E+10	0.00000000313	0.063	1.0E+10	1E-30	20600	1.0E+10	0.000000115	466	1.0E+10	0.0000000622	29.9	1.0E+10	0.0000000513	5.17	7.68E-14	0.00000000127	2.53	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	2.58E-14	1E-30	1.0E-10	1.0E+10	0.00000000386	0.074	1.0E+10	1E-30	20600	1.0E+10	0.000000132	488	1.0E+10	0.0000000698	33.5	1.0E+10	0.0000000661	6.66	4.12E-14	0.00000000172	4.01	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	2.35E-16	1E-30	1.0E-10	1.0E+10	0.00000000474	0.0812	1.0E+10	1E-30	22100	1.0E+10	0.000000162	601	1.0E+10	0.0000000802	38.5	1.0E+10	0.0000000725	7.3	9.67E-14	0.00000000111	2.1	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	0.000000000000017	1E-30	1.0E-10	1.0E+10	0.0000000057	0.0812	1.0E+10	1E-30	25400	1.0E+10	0.000000178	615	1.0E+10	0.000000116	55.7	1.0E+10	0.0000000725	7.3	9.89E-14	0.00000000113	2.1	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	0.000000000000017	1E-30	1.0E-10	1.0E+10	0.00000000718	0.0812	1.0E+10	1E-30	25400	1.0E+10	0.000000209	722	1.0E+10	0.000000116	55.7	1.0E+10	0.0000000725	7.3	9.02E-14	0.00000000113	2.2	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
