BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0.00000000000001	1E-30	1.0E-10	1.0E+10	0.000000000363	0.028	1.0E+10	1E-30	2000	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000003	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	0.00000000000001	1E-30	1.0E-10	1.0E+10	0.000000000363	0.028	1.0E+10	1E-30	2000	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000003	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	0.00000000000001	1E-30	1.0E-10	1.0E+10	0.000000000245	0.017	1.0E+10	1E-30	2000	1.0E+10	0.0000005	1200	1.0E+10	0.000000035	220	1.0E+10	0.000000003	9	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	0.00000000000001	1E-30	1.0E-10	1.0E+10	0.000000000245	0.017	1.0E+10	1E-30	2000	1.0E+10	0.0000005	1200	1.0E+10	0.000000035	220	1.0E+10	0.000000003	9	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	0.00000000000001	1E-30	1.0E-10	1.0E+10	0.00000000048	0.06	1.0E+10	1E-30	2000	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000003	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	0.00000000000001	1E-30	1.0E-10	1.0E+10	0.00000000048	0.06	1.0E+10	1E-30	2000	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000003	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	0.00000000000001	1E-30	1.0E-10	1.0E+10	0.00000000048	0.06	1.0E+10	1E-30	2000	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000003	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	0.000000000000055	1E-30	1.0E-10	1.0E+10	0.00000000059	0.06	1.0E+10	1E-30	1200	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000004	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	0.000000000000055	1E-30	1.0E-10	1.0E+10	0.00000000059	0.06	1.0E+10	1E-30	1200	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000004	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	0.000000000000055	1E-30	1.0E-10	1.0E+10	0.00000000059	0.06	1.0E+10	1E-30	1200	1.0E+10	0.0000005	800	1.0E+10	0.000000035	220	1.0E+10	0.000000004	11	1.0E+10	0.00000025	400	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
