BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	9.92604565981019E-11	1.0E+10	1000000000	1E-30	2.0408465158923E-10	1.0E+10	1E-30	1.0E+10	0.300248530925971	5.65107520865201E-09	1.0E+10	8.76372985964883	4.88488302640456E-09	1.0E+10	0.29170547456107	8.2145843515182E-08	1.0E+10	4.69646909718432E-02	5.37856187510489E-10	2.93697989488231E-11	1.09141812336799	6.30178109119191E-11	8.47283366377214E-11	3.91184568398823	1.49711429271115E-12	1.06082822588416E-09	210.647136959067	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	1.16120847763361E-10	1.0E+10	1000000000	1E-30	5.22290906241036E-11	1.0E+10	1E-30	1.0E+10	0.244976414889371	8.97653416701959E-09	1.0E+10	3.56763841714114	7.06226180996705E-09	1.0E+10	0.219948986479268	5.61617155029065E-10	3.99258401151747E-11	1.14131585677854	9.1641947079049E-11	8.38486484720354E-11	3.01194332195563	1.18195249452652E-12	1.23655246517245E-09	287.337162633646	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	1.5095706989253E-10	1.0E+10	1000000000	1E-30	1.72880557383526E-10	1.0E+10	1E-30	1.0E+10	0.217848244710615	1.17642159009381E-08	1.0E+10	3.29188805114519	7.90575726849024E-09	1.0E+10	0.173498954414866	8.86387071036269E-10	3.41641860813369E-11	1.26860550185595	1.2548966589711E-10	9.33036118972574E-11	2.96147915660156	1.25991382083347E-12	1.07968122794939E-09	203.248325638327	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	1.81602818607899E-10	1.0E+10	1000000000	1E-30	4.85017980188906E-13	1.0E+10	1E-30	1.0E+10	0.151022511273016	1.28767045644552E-08	1.0E+10	4.06796433148911	8.60953055551384E-09	1.0E+10	8.07371899060237E-02	2.8501857654205E-08	1.0E+10	7.76780432217969E-02	5.67163016577339E-10	7.30120358319127E-11	1.65764800539824	1.40952544606095E-10	1.08249927984835E-10	3.17188248125624	8.35854928860243E-13	1.13977786571683E-09	199.341077110675	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	2.20630317062087E-10	1.0E+10	1000000000	1E-30	2.43349916490361E-10	1.0E+10	1E-30	1.0E+10	0.632111205791748	7.60577179019581E-09	1.0E+10	7.25010016786387	2.096988239258E-09	1.0E+10	0.763212896760408	6.97115019107E-09	1.0E+10	0.71481804319946	2.19742004816061E-08	1.0E+10	0.189478876176517	1.01426818054608E-09	6.20314296489945E-11	0.905635070992736	5.5888635934553E-12	3.57354524315388E-10	34.3054101565931	2.10508820690728E-12	3.33477874925783E-10	49.9916536559816	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	2.64645799630706E-10	1.0E+10	1000000000	1E-30	3.49031612881168E-11	1.0E+10	1E-30	1.0E+10	0.520061795609633	1.20348773786687E-08	1.0E+10	4.37530100195321	1.07011238461808E-08	1.0E+10	0.903774596376535	2.17857807710072E-09	1.0E+10	0.782838363320008	3.53334624129355E-09	1.93764218140078E-11	0.293890069398181	3.38411208468305E-12	4.74843691274398E-10	36.8171447301357	2.0108970648097E-12	3.49740645062189E-10	39.7798540697745	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	3.41032536579001E-10	1.0E+10	1000000000	1E-30	1.02642911568872E-10	1.0E+10	1E-30	1.0E+10	0.407672966947301	1.04172518530478E-08	1.0E+10	15.8681368855526	1.09860588241899E-08	1.0E+10	1.14497321382512	4.68789442889315E-09	1.0E+10	0.451271313508105	3.18409857466581E-09	1.0E+10	0.253888510285646	9.16330784331853E-10	7.02257310543175E-11	0.95395692552963	5.92847711278994E-12	3.30257775473118E-10	22.4953161811758	1.21666758912596E-12	6.29077280399908E-10	32.9195297751579	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	3.81268870167646E-10	1.0E+10	1000000000	1E-30	1.80693679507993E-10	1.0E+10	1E-30	1.0E+10	0.5316708905723	9.24610560804691E-09	1.0E+10	34.3448229615618	1.7665773543479E-08	1.0E+10	1.27191446598504	3.700303578529E-09	1.0E+10	0.780460569001705	5.67869692580885E-09	1.48948410049975E-11	0.300434551665957	9.96253434475055E-12	2.0768816701504E-10	19.0097850509677	1.28071148215686E-12	5.60900749577167E-10	47.0873811188694	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	4.66059785629712E-10	1.0E+10	1000000000	1E-30	2.22389706606737E-10	1.0E+10	1E-30	1.0E+10	0.418925818172984	8.38140546970055E-09	1.0E+10	72.1943616190457	2.02239275585812E-08	1.0E+10	1.79191071722722	8.19865618707773E-09	1.0E+10	0.45893401982778	7.11382816463048E-09	1.0E+10	0.185084696932948	1.60623545320533E-09	5.93054327685308E-11	0.701030582623353	1.30692168198433E-11	1.48226646389018E-10	15.7061312597535	1.61759036632005E-12	6.08343544226609E-10	40.6447350444094	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	5.53115913889079E-10	1.0E+10	1000000000	1E-30	5.99097627945608E-11	1.0E+10	1E-30	1.0E+10	0.379887998536878	8.38323659822167E-09	1.0E+10	150.802453816759	3.5935168769647E-08	1.0E+10	2.16558086621201	2.16734671654101E-08	1.0E+10	0.565935040286775	7.13371059403972E-09	1.0E+10	0.353142747928583	1.42817585901143E-09	1.09555069220894E-10	1.04165041815882	4.67893880211239E-12	4.37460984721951E-10	33.3457757699996	1.33642608115605E-12	4.76660218505053E-10	46.7071422272481	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
