BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	9.53337924305665E-09	1.0E+10	1.0E+10	1E-30	2.72698702876705E-11	1.0E+10	1E-30	1.0E+10	0.0345	4.75299380038633E-07	1.0E+10	4.38151250338212	9.60220917465107E-07	1.0E+10	0.338321817698553	9.79329517542703E-07	1.0E+10	8.63676114137989E-02	5.78644321587299E-07	1.0E+10	3.99913058005892E-02	1E-30	1.57082579243144E-11	0.106603168546574	3.3775233060054E-08	8.69049286340119E-12	4.20454051333404E-02	4.34130747875757E-09	2.00052528660098E-11	6.53861079350061E-02	3.15894557603387E-11	6.06527604061336E-11	3.84747908137949	9.49896025879619E-12	5.44664044019667E-11	5.84679999660989	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	1.01699526552831E-08	1.0E+10	1.0E+10	1E-30	3.99277171982559E-12	1.0E+10	1E-30	1.0E+10	2.30368280571198E-02	5.34932416899472E-07	1.0E+10	3.6211309580994	9.87148770768841E-07	1.0E+10	0.23635003476509	7.99495469852831E-07	1.0E+10	7.14813338433031E-02	4.91632950846907E-07	1.0E+10	2.02472973412492E-02	1E-30	1.97037297375676E-11	0.142939891804594	1.36480504893263E-08	1.75361814369628E-11	0.120052248445476	3.40399187988691E-09	1.79587780584748E-11	9.56605071490996E-02	8.77684722579912E-12	5.59792815588882E-11	5.96563951197442	7.36732677262412E-12	3.57000558078341E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	2.34741571870369E-08	1.0E+10	1.0E+10	1E-30	1.01318656532746E-11	1.0E+10	1E-30	1.0E+10	1.61167400799904E-02	1.39793848393804E-06	1.0E+10	1.73058563268638	1.88684032995654E-06	1.0E+10	0.163036656739608	2.52014094789987E-06	1.0E+10	3.49456729778316E-02	1.44477483345712E-06	1.0E+10	1.57045114027355E-02	1E-30	1.88296079851909E-11	8.86911821359679E-02	3.09942571757018E-08	1.3030494564979E-11	5.25007687328808E-02	9.1244673013645E-09	1.06091735633652E-11	0.041891535042813	8.25983813274232E-12	4.88552699101419E-11	6.00953897017446	6.1221578916505E-12	3.41251290322472E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	2.34741571870369E-08	1.0E+10	1.0E+10	1E-30	1.01318656532746E-11	1.0E+10	1E-30	1.0E+10	1.61167400799904E-02	1.39793848393804E-06	1.0E+10	1.73058563268638	1.88684032995654E-06	1.0E+10	0.163036656739608	2.52014094789987E-06	1.0E+10	3.49456729778316E-02	1.44477483345712E-06	1.0E+10	1.57045114027355E-02	1E-30	1.88296079851909E-11	8.86911821359679E-02	3.09942571757018E-08	1.3030494564979E-11	5.25007687328808E-02	9.1244673013645E-09	1.06091735633652E-11	0.041891535042813	8.25983813274232E-12	4.88552699101419E-11	6.00953897017446	6.1221578916505E-12	3.41251290322472E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	2.34741571870369E-08	1.0E+10	1.0E+10	1E-30	1.01318656532746E-11	1.0E+10	1E-30	1.0E+10	1.61167400799904E-02	1.39793848393804E-06	1.0E+10	1.73058563268638	1.88684032995654E-06	1.0E+10	0.163036656739608	2.52014094789987E-06	1.0E+10	3.49456729778316E-02	1.44477483345712E-06	1.0E+10	1.57045114027355E-02	1E-30	1.88296079851909E-11	8.86911821359679E-02	3.09942571757018E-08	1.3030494564979E-11	5.25007687328808E-02	9.1244673013645E-09	1.06091735633652E-11	0.041891535042813	8.25983813274232E-12	4.88552699101419E-11	6.00953897017446	6.1221578916505E-12	3.41251290322472E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	2.07624505286062E-08	1.0E+10	1.0E+10	1E-30	2.59955497407103E-11	1.0E+10	1E-30	1.0E+10	2.26861821530004E-02	1.4917209162385E-06	1.0E+10	1.43553512367581	2.35983954874378E-06	1.0E+10	0.198837181112756	1.59521748859779E-06	1.0E+10	5.52075325482823E-02	2.14689785455236E-06	1.0E+10	1.14964762852652E-02	1E-30	1.99855935343734E-11	0.160155778821089	3.15985418725699E-08	1.29023640841611E-11	3.57353168095036E-02	1.19350150284755E-08	8.70952352980744E-12	3.34398264840227E-02	8.73615643777884E-12	9.23320477863442E-11	9.99208515992212	1.80580165279717E-11	2.16076710419774E-11	2.75982408847195	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	2.07624505286062E-08	1.0E+10	1.0E+10	1E-30	2.59955497407103E-11	1.0E+10	1E-30	1.0E+10	2.26861821530004E-02	1.4917209162385E-06	1.0E+10	1.43553512367581	2.35983954874378E-06	1.0E+10	0.198837181112756	1.59521748859779E-06	1.0E+10	5.52075325482823E-02	2.14689785455236E-06	1.0E+10	1.14964762852652E-02	1E-30	1.99855935343734E-11	0.160155778821089	3.15985418725699E-08	1.29023640841611E-11	3.57353168095036E-02	1.19350150284755E-08	8.70952352980744E-12	3.34398264840227E-02	8.73615643777884E-12	9.23320477863442E-11	9.99208515992212	1.80580165279717E-11	2.16076710419774E-11	2.75982408847195	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	4.80009726143796E-08	1.0E+10	1.0E+10	1E-30	2.80387240591729E-11	1.0E+10	1E-30	1.0E+10	1.23658538394994E-02	3.0701452049891E-06	1.0E+10	0.582435179967881	4.83889552038826E-06	1.0E+10	5.71419323647401E-02	4.41291308186502E-06	1.0E+10	1.87733334943768E-02	4.30058239155071E-06	1.0E+10	5.73600144176402E-03	1E-30	2.22823312022443E-11	8.52960540000208E-02	6.05273412247656E-08	1.61840602067453E-11	2.93694965787883E-02	2.02156869747222E-08	9.58900908444795E-12	1.89678510159665E-02	6.79443434757799E-12	6.8575542987305E-11	9.63983731673301	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	4.80009726143796E-08	1.0E+10	1.0E+10	1E-30	2.80387240591729E-11	1.0E+10	1E-30	1.0E+10	1.23658538394994E-02	3.0701452049891E-06	1.0E+10	0.582435179967881	4.83889552038826E-06	1.0E+10	5.71419323647401E-02	4.41291308186502E-06	1.0E+10	1.87733334943768E-02	4.30058239155071E-06	1.0E+10	5.73600144176402E-03	1E-30	2.22823312022443E-11	8.52960540000208E-02	6.05273412247656E-08	1.61840602067453E-11	2.93694965787883E-02	2.02156869747222E-08	9.58900908444795E-12	1.89678510159665E-02	6.79443434757799E-12	6.8575542987305E-11	9.63983731673301	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	4.695961067257E-08	1.0E+10	1.0E+10	1E-30	8.73745582985992E-12	1.0E+10	1E-30	1.0E+10	1.26411537717596E-02	3.20237514033469E-06	1.0E+10	0.694497909083078	4.06832783268474E-06	1.0E+10	0.069673951692267	3.15893217704596E-06	1.0E+10	1.57541692064835E-02	3.22205643664953E-06	1.0E+10	3.10598264552739E-03	1E-30	3.25585929965095E-11	0.162278559356621	6.81346150816254E-08	1.86813594748879E-11	4.65373336751083E-02	1.9826740270562E-08	1.68736666076264E-11	3.43936348245433E-02	8.19061671060551E-12	5.79766708325328E-11	5.90298036734453	8.69959597150569E-12	2.88721911704592E-11	100000	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
