BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	7.26E-15	1E-30	1.0E-10	1.0E+10	0.00000000138	0.0197	1.0E+10	1E-30	3500	1.0E+10	0.0000000378	114	1.0E+10	0.0000000134	4.96	1.0E+10	0.000000126	23.3	8.23E-14	0.000000000781	0.603	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	6.18E-17	1E-30	1.0E-10	1.0E+10	0.00000000155	0.0193	1.0E+10	1E-30	3580	1.0E+10	0.0000000489	177	1.0E+10	0.0000000285	20.7	1.0E+10	0.0000000151	2.5	3.43E-15	0.0000000374	97.8	0.00000000000011	0.000000000735	0.554	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	6.18E-17	1E-30	1.0E-10	1.0E+10	0.00000000165	0.0216	1.0E+10	1E-30	3500	1.0E+10	0.0000000456	155	1.0E+10	0.0000000285	16.4	1.0E+10	0.000000017	2.8	3.59E-15	0.0000000374	30.2	0.000000000000145	0.000000000769	0.82	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	6.93E-15	1E-30	1.0E-10	1.0E+10	0.00000000169	0.0248	1.0E+10	1E-30	4210	1.0E+10	0.0000000412	138	1.0E+10	0.0000000349	13.3	1.0E+10	0.0000000238	6.31	2.37E-15	0.0000000541	44.7	0.000000000000219	0.000000000769	0.594	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	4.38E-16	1E-30	1.0E-10	1.0E+10	0.00000000201	0.0248	1.0E+10	1E-30	4210	1.0E+10	0.0000000441	144	1.0E+10	0.0000000205	7.85	1.0E+10	0.0000000217	3.09	7.36E-16	0.000000176	145	0.000000000000115	0.000000000608	0.43	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	4.38E-16	1E-30	1.0E-10	1.0E+10	0.00000000209	0.0248	1.0E+10	1E-30	4210	1.0E+10	0.0000000462	141	1.0E+10	0.0000000145	4.73	1.0E+10	0.0000000737	5.01	1.34E-15	0.0000000968	79.4	0.000000000000136	0.000000000687	0.506	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	4.38E-16	1E-30	1.0E-10	1.0E+10	0.00000000282	0.053	1.0E+10	1E-30	5180	1.0E+10	0.0000000421	129	1.0E+10	0.0000000113	3.93	1.0E+10	0.0000000212	1.45	3.7E-15	0.0000000352	28.8	0.000000000000175	0.000000000614	0.622	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	3.81E-16	1E-30	1.0E-10	1.0E+10	0.00000000263	0.0278	1.0E+10	1E-30	6670	1.0E+10	0.0000000568	199	1.0E+10	0.0000000205	7.16	1.0E+10	0.0000000789	7.59	1.65E-14	0.00000000752	10.7	0.000000000000184	0.000000000739	2.84	0.000000000000014	0.00000000447	11.6	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	3.64E-16	1E-30	1.0E-10	1.0E+10	0.00000000299	0.0518	1.0E+10	1E-30	7480	1.0E+10	0.0000000543	195	1.0E+10	0.0000000175	6.09	1.0E+10	0.0000000261	2.51	1.37E-14	0.00000000904	10.2	0.000000000000197	0.000000000689	2.53	1.22E-14	0.00000000493	13	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	3.64E-16	1E-30	1.0E-10	1.0E+10	0.00000000318	0.0683	1.0E+10	1E-30	6080	1.0E+10	0.0000000595	186	1.0E+10	0.0000000277	9.66	1.0E+10	0.0000000378	3.63	2.87E-16	0.000000453	501	7.05E-14	0.000000000667	4.16	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
10	3.64E-16	1E-30	1.0E-10	1.0E+10	0.00000000349	0.0683	1.0E+10	1E-30	6820	1.0E+10	0.0000000595	174	1.0E+10	0.0000000365	12.7	1.0E+10	0.0000000369	3.55	7.05E-16	0.000000184	204	8.95E-14	0.000000000631	3.59	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
11	3.64E-16	1E-30	1.0E-10	1.0E+10	0.00000000381	0.0683	1.0E+10	1E-30	7310	1.0E+10	0.0000000841	295	1.0E+10	0.0000000325	14	1.0E+10	0.0000000387	3.72	7.91E-16	0.000000164	182	9.82E-14	0.000000000603	3.35	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
12	3.64E-16	1E-30	1.0E-10	1.0E+10	0.00000000448	0.0987	1.0E+10	1E-30	9210	1.0E+10	0.0000000367	112	1.0E+10	0.0000000449	22.6	1.0E+10	0.0000000387	3.72	2.33E-15	0.0000000557	120	0.000000000000134	0.000000000598	0.903	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
