BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	5.14E-16	1E-30	1.0E-10	1.0E+10	0.000000000761	0.0334	1.0E+10	1E-30	2730	1.0E+10	0.000000023	104	1.0E+10	0.0000000108	5.92	1.0E+10	0.000000389	71.4	1.52E-15	0.000000082	130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	4.08E-19	1E-30	1.0E-10	1.0E+10	0.000000000894	0.0334	1.0E+10	1E-30	2730	1.0E+10	0.0000000356	161	1.0E+10	0.0000000108	5.92	1.0E+10	0.000000389	71.4	8.16E-17	0.000000035	46.1	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	4.08E-19	1E-30	1.0E-10	1.0E+10	0.00000000098	0.016	1.0E+10	1E-30	2730	1.0E+10	0.0000000356	165	1.0E+10	0.0000000116	6.34	1.0E+10	0.000000389	71.4	5.15E-14	0.00000000088	0.291	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	5.26E-15	1E-30	1.0E-10	1.0E+10	0.00000000105	0.0291	1.0E+10	1E-30	3280	1.0E+10	0.0000000616	338	1.0E+10	0.0000000199	18.9	1.0E+10	0.000000135	48.3	5.18E-14	0.000000000898	0.718	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	1.38E-14	1E-30	1.0E-10	1.0E+10	0.00000000126	0.0206	1.0E+10	1E-30	3440	1.0E+10	0.0000000389	126	1.0E+10	0.0000000177	8.06	1.0E+10	0.000000438	29.8	9.65E-14	0.000000000764	0.625	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	5.64E-16	1E-30	1.0E-10	1.0E+10	0.00000000135	0.0383	1.0E+10	1E-30	3360	1.0E+10	0.0000000363	112	1.0E+10	0.0000000658	24.9	1.0E+10	0.0000000235	9.21	9.01E-14	0.000000000713	0.625	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	2.19E-14	1E-30	1.0E-10	1.0E+10	0.0000000016	0.0319	1.0E+10	1E-30	3950	1.0E+10	0.0000000512	209	1.0E+10	0.0000000233	15	1.0E+10	0.0000000727	16.4	0.00000000000018	0.000000000819	0.99	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	1.18E-14	1E-30	1.0E-10	1.0E+10	0.00000000181	0.058	1.0E+10	1E-30	4040	1.0E+10	0.0000000691	282	1.0E+10	0.0000000218	14	1.0E+10	0.0000000727	16.4	0.000000000000105	0.00000000061	0.0864	1.84E-15	0.0000000666	193	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	5.51E-15	1E-30	1.0E-10	1.0E+10	0.00000000213	0.0461	1.0E+10	1E-30	4970	1.0E+10	0.000000066	282	1.0E+10	0.0000000268	17.2	1.0E+10	0.0000000373	7.15	0.00000000000012	0.000000000804	0.486	1.64E-14	0.00000000819	58.3	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	2.64E-14	1E-30	1.0E-10	1.0E+10	0.00000000236	0.0392	1.0E+10	1E-30	5200	1.0E+10	0.000000066	282	1.0E+10	0.0000000301	19.3	1.0E+10	0.0000000373	7.15	0.000000000000138	0.000000000768	0.443	1.64E-14	0.00000000819	24.3	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
10	1.45E-16	1E-30	1.0E-10	1.0E+10	0.00000000265	0.042	1.0E+10	1E-30	6110	1.0E+10	0.0000000645	240	1.0E+10	0.0000000379	24.3	1.0E+10	0.000000034	5.06	6.31E-14	0.00000000106	7.52	0.000000000000164	0.000000000819	2.43	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
11	9.55E-15	1E-30	1.0E-10	1.0E+10	0.00000000299	0.0747	1.0E+10	1E-30	6110	1.0E+10	0.0000000741	275	1.0E+10	0.0000000426	27.2	1.0E+10	0.0000000428	6.37	6.17E-14	0.000000000715	0.625	1.39E-15	0.0000000919	441	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
12	1.51E-14	1E-30	1.0E-10	1.0E+10	0.00000000343	0.0819	1.0E+10	1E-30	6260	1.0E+10	0.0000000912	331	1.0E+10	0.0000000426	27.2	1.0E+10	0.0000000428	6.37	7.42E-14	0.000000000715	0.844	1.84E-15	0.0000000697	279	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
13	1.66E-14	1E-30	1.0E-10	1.0E+10	0.00000000368	0.0962	1.0E+10	1E-30	6260	1.0E+10	0.0000000977	380	1.0E+10	0.0000000456	28.5	1.0E+10	0.0000000428	6.37	7.77E-14	0.000000000749	0.844	1.84E-15	0.0000000697	232	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
14	1.66E-14	1E-30	1.0E-10	1.0E+10	0.00000000413	0.08	1.0E+10	1E-30	6260	1.0E+10	0.000000105	407	1.0E+10	0.0000000478	29.9	1.0E+10	0.0000000515	5.55	0.000000000000138	0.000000000637	0.443	1.84E-15	0.0000000697	46.2	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
15	3.31E-14	1E-30	1.0E-10	1.0E+10	0.00000000453	0.105	1.0E+10	1E-30	7020	1.0E+10	0.000000132	549	1.0E+10	0.0000000446	27.9	1.0E+10	0.0000000515	5.55	0.000000000000049	0.00000000113	1.09	1.84E-15	0.0000000697	221	1.24E-15	0.0000000717	136	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
16	2.09E-14	1E-30	1.0E-10	1.0E+10	0.00000000508	0.113	1.0E+10	1E-30	8440	1.0E+10	0.000000138	575	1.0E+10	0.0000000536	33.5	1.0E+10	0.0000000619	6.67	7.59E-14	0.000000000699	2.73	2.48E-15	0.0000000517	164	1.24E-15	0.0000000717	136	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
