BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	4.84952181417E-16	1E-30	1.0E-10	1.0E+10	1.05236628489446E-09	1.01391557577021E-02	1.0E+10	1E-30	7622.071635356	1.0E+10	3.20772008526495E-08	6.04640991278447	1.0E+10	5.36059475763274E-09	3.3681610218902	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	4.84952181417E-16	1E-30	1.0E-10	1.0E+10	1.05236628489446E-09	1.01391557577021E-02	1.0E+10	1E-30	7622.071635356	1.0E+10	3.20772008526495E-08	6.04640991278447	1.0E+10	5.36059475763274E-09	3.3681610218902	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	4.74E-16	1E-30	1.0E-10	1.0E+10	0.00000000157	0.02	1.0E+10	1E-30	5400	1.0E+10	0.00000000683	0.297	1.0E+10	0.0000000245	16	1.0E+10	0.00000011	768	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	4.74E-16	1E-30	1.0E-10	1.0E+10	0.00000000157	0.02	1.0E+10	1E-30	5400	1.0E+10	0.00000000683	0.297	1.0E+10	0.0000000245	16	1.0E+10	0.00000011	768	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	4.74E-16	1E-30	1.0E-10	1.0E+10	0.00000000157	0.02	1.0E+10	1E-30	5400	1.0E+10	0.00000000683	0.297	1.0E+10	0.0000000245	16	1.0E+10	0.00000011	768	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	1.0684952181417E-14	1E-30	1.0E-10	1.0E+10	2.25236628489446E-09	1.41391557577021E-02	1.0E+10	1E-30	8622.071635356	1.0E+10	1.08292684556394E-08	2.72169201791906	1.0E+10	7.32119189283793E-08	92.0008106642433	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	1.0684952181417E-14	1E-30	1.0E-10	1.0E+10	2.25236628489446E-09	1.41391557577021E-02	1.0E+10	1E-30	8622.071635356	1.0E+10	1.08292684556394E-08	2.72169201791906	1.0E+10	7.32119189283793E-08	92.0008106642433	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	1.56E-15	1E-30	1.0E-10	1.0E+10	0.00000000249	0.03	1.0E+10	1E-30	6970	1.0E+10	0.0000000189	0.701	1.0E+10	0.0000000385	26	1.0E+10	0.000000165	747	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	1.56E-15	1E-30	1.0E-10	1.0E+10	0.00000000249	0.03	1.0E+10	1E-30	6970	1.0E+10	0.0000000189	0.701	1.0E+10	0.0000000385	26	1.0E+10	0.000000165	747	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	1.56E-15	1E-30	1.0E-10	1.0E+10	0.00000000249	0.03	1.0E+10	1E-30	6970	1.0E+10	0.0000000189	0.701	1.0E+10	0.0000000385	26	1.0E+10	0.000000165	747	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
